"testcaseNumber","testcaseInfo","status","reviewerId","anonymous","dirtyFields"
"1","POS: status changed to SUBMITTED","SUBMITTED","","","[""STATUS""]"
"2","POS: status changed to PROCESSED","PROCESSED","","","[""STATUS""]"
"3","POS: status changed to REJECTED","REJECTED","","","[""STATUS""]"
"4","POS: status changed to CURATED","CURATED","","","[""STATUS""]"
"5","POS: status changed to DELETED","DELETED","","","[""STATUS""]"
"6","POS: status added","CURATED","","","[""STATUS""]"
"7","POS: reviewerId changed to 1234567","","1234567","","[""REVIEWER_ID""]"
"8","POS: reviewerId removed","","","","[""REVIEWER_ID""]"
"9","POS: reviewerId original value (2345678) added","","2345678","","[""REVIEWER_ID""]"
"10","POS: status and reviewerId changed to CURATED and 1234567 respectively","CURATED","1234567","","[""REVIEWER_ID"",""STATUS""]"
"11","POS: anonymous changed to false","","","false","[""ANONYMOUS""]"
"12","POS: anonymous removed","","","","[""ANONYMOUS""]"
"13","POS: anonymous added as true","","","true","[""ANONYMOUS""]"
"14","POS: status, reviewerId and anonymous changed to SUBMITTED, 2345678 and false respectively","SUBMITTED","2345678","false","[""REVIEWER_ID"",""STATUS"",""ANONYMOUS""]"
